,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
10,25326.25,179.57277917281593,88.68815635015272,364.1248733360459,237.62553018238893,10992.847629827707,0.0,51.733191846404424,213.0
11,109.0,11.780624362746345,0.1881355345555096,17.6276858873332,8.068803610002334,43.020815280171306,83.0,164.99770642201835,221.0
12,33.75,6.555290583552474,87.87717757443345,11.660952900079714,4.022353072335714,26.36396103067893,93.0,145.42222222222222,195.0
13,14.0,4.222008245644752,87.8267808049962,6.754319300227548,2.778440572526866,15.224873734152919,93.0,118.28571428571429,141.0
14,134.25,13.074112164146964,74.90339423047085,15.570212353361196,11.446427218706951,46.26345596729059,72.0,139.03538175046555,221.0
15,182.75,15.254000354017007,-89.83031128261875,16.77681919977436,14.131121192346454,53.298989873223334,24.0,146.3392612859097,224.0
16,91.25,10.778826859036359,84.94142077383276,15.257470189342124,8.581526684177145,47.65990257669731,8.0,125.55068493150685,187.0
17,49.25,7.918778161951929,-88.8170415565074,12.003792284457411,5.832881034126127,32.088834764831844,87.0,118.97969543147208,138.0
18,17.0,4.652426491681278,-89.24634642516033,6.346948797356401,4.4897975996950565,18.77817459305202,85.0,116.80882352941177,142.0
19,54.75,8.349243383340204,-80.92802831527848,13.437148423300336,5.987364894715494,36.65990257669733,82.0,135.08675799086757,200.0
20,48.75,7.878478774854901,-88.35466827194755,11.266675809873608,5.766892211668925,29.174621202458752,76.0,126.24102564102564,165.0
21,12.5,3.989422804014327,80.75410572413783,5.910808802164714,3.07609156304752,13.931980515339465,78.0,113.04,124.0
22,104.25,11.521077316754745,-82.317040568435,13.268897103207491,10.692343805768505,41.67766952966369,92.0,138.58513189448442,181.0
23,79.5,10.060941497019325,-85.64869738046063,12.643400119032329,8.339158807654785,36.917261889578036,101.0,143.33018867924528,175.0
24,98.75,11.213046198183495,83.23386206089364,17.628472274269303,8.263919957413192,48.038582233137674,91.0,131.80253164556962,200.0
25,117.75,12.244343853084386,65.99669662283804,13.95331114613218,11.82514882026632,47.47056274847714,85.0,170.13588110403398,224.0
26,132.75,13.000867261978827,56.58337385811663,15.646191492675944,11.113551777878866,46.09188309203679,78.0,156.14124293785312,216.0
27,11.0,3.742410318509555,64.58803840128894,4.246953968190632,3.5080417897569878,12.431980515339463,109.0,140.5681818181818,176.0
28,4.75,2.4592453796829674,-56.824199429436455,3.8482936176175913,1.8215542965606033,6.639087296526011,102.0,126.73684210526316,136.0
29,8.5,3.2897623212397704,19.643957890278408,4.082069996646818,2.7194720207951426,10.15685424949238,128.0,146.76470588235293,171.0
30,127.5,12.741194683142286,51.237295928245565,14.236339467260828,11.567234660727069,42.92031021678297,67.0,149.22941176470587,210.0
31,115.25,12.11366408361762,55.898974775457575,19.01379359487295,10.334137511309473,56.81980515339464,85.0,177.49023861171366,235.0
32,231.75,17.177696716742147,45.88248776758842,18.852469698358917,15.847274301473973,61.81980515339464,61.0,155.27615965480044,229.0
33,143.25,13.505242122350568,0.9258046007516925,16.472768622591012,11.269282179687124,49.99137802864845,83.0,170.94240837696336,219.0
34,36.25,6.793742230659745,-51.07112986246609,9.27197407634615,6.039218609428203,29.038582233137674,88.0,116.11724137931034,131.0
35,143.0,13.493452297211721,66.4138267768962,14.122097633954699,13.13080074389843,47.50609665440987,22.0,148.84965034965035,223.0
36,174.0,14.884343478431232,-87.95526053812328,17.386026542358582,13.353190203555556,53.577164466275356,69.0,161.1594827586207,230.0
37,222.25,16.821934752500674,49.7074951549209,18.814460798304832,15.252032109645029,59.698484809834994,67.0,160.39482564679415,220.0
38,21.25,5.201570947860099,-66.23792864780069,5.745405160676811,4.94555910224374,17.36396103067893,81.0,120.62352941176471,142.0
39,138.0,13.255453865237978,35.79324274313023,16.557713644640515,12.008969971561227,53.4558441227157,87.0,151.2644927536232,188.0
40,128.5,12.791062563308351,48.9509107906581,15.792873576803162,11.026088231836095,47.42031021678297,77.0,154.96108949416342,217.0
41,209.75,16.342031529409077,-20.69894534520256,17.205116904860493,15.984170422471681,63.234018715767725,33.0,152.7139451728248,228.0
42,15.25,4.406461512053774,5.1186008451111595,8.528274933126548,2.440266644340545,18.65685424949238,104.0,131.29508196721312,148.0
43,200.25,15.967661658277217,38.00200479448549,17.92136286964316,14.62557597254688,56.64518395093589,77.0,141.21722846441946,186.0
44,108.75,11.767106717028996,-88.33178562075581,12.955951379826894,10.780992667787253,39.67766952966369,84.0,139.80689655172415,198.0
45,185.75,15.378694529593743,14.138781103871,17.081487944259038,14.068864085007267,54.45584412271571,73.0,143.99057873485867,221.0
46,110.5,11.861406733319429,64.73066991521628,16.097879362245642,9.19892837636933,44.21320343559643,107.0,175.65610859728505,225.0
47,137.5,13.231418571003069,53.79408461202884,13.6213564006993,13.102657552156938,46.45584412271571,53.0,166.20363636363638,227.0
48,184.0,15.306079714651624,31.669803921889805,15.977737225882452,14.838923793858221,51.87005768508881,71.0,132.3451086956522,180.0
49,163.5,14.428259270064393,28.774956044410565,16.50772845944698,13.283488206548572,54.81980515339464,73.0,138.01070336391436,202.0
50,42.25,7.334464586120832,-48.38542127961261,7.779521783088755,7.239965691853861,24.899494936611664,84.0,127.18343195266272,148.0
51,194.5,15.736743355948496,46.1225073667321,18.104710783688024,13.917170602455602,55.45584412271571,82.0,165.38303341902315,216.0
52,154.0,14.002817212590296,24.12696303885774,15.935605554801425,12.707012640204393,48.57716446627535,77.0,159.00487012987014,222.0
53,168.25,14.63634358033765,54.03968692621167,16.542595680339083,13.132534783874542,51.16295090390226,72.0,150.35512630014858,219.0
54,18.0,4.787307364817192,-20.993124335409146,5.666712298425394,4.322398039664341,15.778174593052023,69.0,117.09722222222223,134.0
55,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,136.0,136.0,136.0
56,124.75,12.603040633343667,13.294669902726024,18.436566330066444,9.328779052549734,48.05634918610404,90.0,166.67334669338678,223.0
57,167.0,14.581872443920643,-26.643268881896073,16.213649682964167,13.450806303955808,52.40559159102155,35.0,144.02994011976048,214.0
58,211.5,16.41006287957139,87.58942017795493,18.203508983575464,14.85107658190671,54.748737341529164,68.0,158.7174940898345,233.0
59,99.25,11.24139781410501,83.90307085043425,14.502092887696024,9.001583307908412,41.92031021678297,116.0,192.6095717884131,249.0
60,144.5,13.564037533648712,12.921605405221847,17.182115818908358,11.620812002770167,50.577164466275356,71.0,166.46020761245674,239.0
61,127.75,12.753679933255228,71.55843712858723,14.83801353763375,11.564653938835939,46.52386360737624,87.0,170.85127201565558,236.0
62,196.5,15.817445133157866,27.886761333394595,19.56946024537237,13.43233957769216,59.8700576850888,88.0,166.9478371501272,234.0
63,18.75,4.886025119029199,2.917744028129031,6.342755880754874,5.4031290372065905,23.4350288425444,46.0,150.62666666666667,199.0
64,172.25,14.809304898631527,49.82661949668764,17.241392041456773,13.076338430978884,55.52691193458119,28.0,157.8200290275762,226.0
65,126.25,12.678584010953838,41.209479716449025,14.079343566526468,11.893143475059842,48.66295090390226,67.0,151.67920792079207,210.0
66,152.75,13.945871807036522,42.948282556622914,16.62984578768751,11.792710009749461,47.95584412271571,99.0,181.32242225859247,233.0
67,3.75,2.1850968611841584,17.14905818470848,4.687532646511102,1.2366324878939796,7.431980515339465,117.0,177.73333333333332,200.0
68,31.75,6.358093703724522,-42.48029517457102,6.922409513013903,6.183976945039759,22.399494936611664,84.0,147.78740157480314,184.0
69,11.5,3.826519928662906,-77.91389075182848,5.186427240145553,3.3110385475549085,14.4675144212722,94.0,123.3913043478261,142.0
70,251.75,17.903576608797394,15.236428074726346,19.84743647163727,16.473054454709157,65.11269837220809,86.0,161.14101290963256,227.0
71,134.0,13.061933202803933,70.78561853671276,15.036308389970348,11.747597250600744,46.213203435596434,86.0,149.2332089552239,234.0
72,263.25,18.30793025307699,21.614055855022187,19.39995464451513,17.526535010908535,64.35533905932738,90.0,158.22886989553658,232.0
73,209.75,16.342031529409077,57.94255005256816,17.759661334257423,15.348254879668527,56.698484809834994,88.0,164.01311084624552,242.0
74,208.5,16.293263794503588,85.2191519213388,17.562137303378325,15.157976811221811,53.627416997969526,85.0,159.21342925659474,228.0
75,145.75,13.622579184763433,2.6635473130965233,14.805056368067582,12.989180323557646,49.162950903902264,30.0,166.91595197255575,253.0
76,156.25,14.104739588693908,47.57188978487997,18.466544744829076,11.025816457171123,52.90559159102155,75.0,145.5648,223.0
77,122.75,12.501606061472312,78.90924364316184,14.447883901089764,11.491781989432708,45.74873734152916,66.0,147.45010183299388,208.0
78,217.0,16.622063085174787,-87.40977882095184,18.71184106636741,16.162723269910067,64.97361107568207,66.0,157.77304147465438,217.0
79,90.75,10.749255261864239,33.48248030552257,16.11253529145604,8.426646487607863,47.47361107568208,80.0,160.1542699724518,219.0
80,150.0,13.819765978853418,54.929808170656614,16.806601436031162,12.039981236297468,53.748737341529164,73.0,149.15833333333333,227.0
81,94.5,10.969099187147178,53.644683778252116,12.645142060067071,9.726312360601522,36.60660171779822,92.0,171.6931216931217,207.0
82,14.75,4.3336224206596095,-4.270890138277263,6.996512242185391,2.7497841468064004,15.121320343559642,96.0,138.864406779661,164.0
83,208.0,16.273715780512877,54.57315494339042,20.5281500930712,13.167415399512093,61.11269837220809,55.0,155.76682692307693,219.0
84,180.25,15.149304536463484,33.18197830488044,17.162889460893187,13.846096059665483,54.21320343559643,85.0,157.35644937586684,234.0
85,189.0,15.512648837479231,20.731236951320934,16.76802473438624,14.470799328921322,53.284271247461895,72.0,156.86507936507937,232.0
86,156.0,14.093451279891855,22.315889884357915,16.077081288614366,13.11360013265443,54.491378028648455,86.0,162.66826923076923,235.0
87,140.75,13.38687663054658,36.946047751439565,14.723037154575062,12.420160415663437,47.8700576850888,39.0,169.3499111900533,239.0
88,167.75,14.614579488624488,75.67039149257135,17.308909473187253,12.618918815843223,50.45584412271572,80.0,165.18479880774962,227.0
89,117.25,12.218319713454786,-25.2090454841044,14.520867150569517,10.665986703357484,46.11269837220809,92.0,160.65031982942432,234.0
90,117.0,12.205286835384658,2.5326080631067045,15.842942037540997,9.970066262156491,43.02081528017131,84.0,142.6559829059829,222.0
91,96.75,11.098915530497878,-79.55689930328724,14.843708704171506,8.68242291138584,45.52386360737624,74.0,149.50129198966408,212.0
92,112.25,11.954962939989485,50.799170390136155,13.589404009097345,10.749971497655393,41.88477631085024,71.0,169.2694877505568,238.0
93,174.25,14.895032415879534,54.653322155050596,16.18197341051707,13.943518417770735,51.90559159102154,94.0,158.90243902439025,223.0
94,126.5,12.69113085619237,19.832531040807346,16.568249398391213,10.845810620773731,49.3167568261897,104.0,175.77075098814228,236.0
95,143.5,13.517021664164627,56.97485773004613,15.722909416110392,12.07756899964944,48.88477631085023,73.0,148.1411149825784,193.0
96,173.25,14.85223051010746,66.42903418622728,16.812464740546293,13.41075204391115,53.2842712474619,101.0,159.3997113997114,236.0
97,45.5,7.611333607551958,-4.529552384915291,13.96976577267805,4.465485452831627,32.588834764831844,83.0,172.52747252747253,229.0
98,218.0,16.66031874701878,40.80133341437247,18.84449068520975,15.287543324221602,63.25178566873411,72.0,173.4518348623853,230.0
99,40.0,7.136496464611085,32.548800263717055,8.522399532318436,6.3827614487413245,26.556349186104043,95.0,126.7875,165.0
100,114.25,12.060995729457511,23.40811709025356,14.48067991983564,10.510156894337134,45.09188309203678,60.0,160.54704595185996,232.0
101,31.75,6.358093703724522,47.70087371210382,8.093222636912383,5.592760043824879,24.50304832720494,84.0,120.22834645669292,170.0
102,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,149.0,151.0,153.0
103,185.5,15.368341990871127,46.80674618867977,18.685994660843832,13.537784893536566,58.81980515339464,83.0,161.1078167115903,245.0
104,105.0,11.562445770562215,-39.56724863797057,14.762716333307319,9.487815679680878,46.55939751330899,79.0,143.2595238095238,217.0
105,32.0,6.383076486422923,-10.319129826432482,7.676933399756848,5.565417618040695,22.81370849898476,76.0,132.0625,188.0
106,143.25,13.505242122350568,36.435103699798184,15.683940501216108,12.027756337934663,49.33452377915607,81.0,164.13612565445027,234.0
107,167.5,14.60368527951557,42.48451582587626,16.077908690562545,13.559337391074974,52.594931419241725,61.0,163.36865671641792,243.0
108,170.75,14.744682168956,41.74719271888891,17.083503137316168,13.182701148650354,54.37005768508881,38.0,156.42313323572475,214.0
109,161.75,14.350836085779552,52.822296255196356,15.974223666185795,13.162226538644155,51.698484809834994,86.0,164.47140649149924,239.0
110,113.0,11.994835078277376,41.80569936027075,14.589830321866193,10.291125872756725,44.781222920256965,107.0,163.28097345132744,224.0
111,150.25,13.831277655967225,49.41926597255672,16.28587527797326,12.636477472516653,50.248737341529164,53.0,170.9234608985025,228.0
112,201.25,16.00748132524138,57.16333745844301,17.98805954630102,14.574682869513323,57.198484809835,82.0,159.54037267080744,245.0
113,109.0,11.780624362746345,32.20258940017355,14.754829682410632,9.642488396445884,41.50609665440988,75.0,167.81880733944953,239.0
114,162.0,14.361922094451577,49.81690421678836,15.998495989371225,13.107972760324893,50.93807716974935,66.0,166.48611111111111,229.0
115,176.0,14.96964127403822,71.77455697658104,16.380371030016452,14.157240993685715,57.52386360737624,91.0,158.93607954545453,249.0
116,194.25,15.726626515715484,75.7501024012878,17.005920809737166,14.679387207966231,53.627416997969526,33.0,164.63191763191764,239.0
117,82.5,10.249012754438885,70.13116634973453,11.262980343975318,9.56221727463906,34.2634559672906,73.0,153.53636363636363,193.0
118,370.25,21.712138113004762,15.369529363472878,34.10773951576194,15.424474077734379,103.68986283848344,83.0,163.82781904118838,246.0
120,196.5,15.817445133157866,-70.02395060115349,19.895604810939304,14.354313408327908,70.23401871576773,36.0,158.9147582697201,224.0
121,221.75,16.80300178673508,67.4465289138137,18.608135954694074,15.31506058093101,60.02691193458118,66.0,170.41600901916573,230.0
122,18.25,4.820437914901168,0.7915185653618025,10.300622085336032,2.428411961568211,20.43198051533946,98.0,148.86301369863014,201.0
123,116.0,12.153015559492998,-88.781236360839,12.93694238545433,11.817727777321808,45.43807716974934,103.0,174.5043103448276,245.0
124,146.75,13.669231989760256,33.406367100825534,16.742903929742464,12.270582167291662,56.30203820042827,96.0,170.64224872231688,235.0
125,138.75,13.291425312283248,52.533389419075434,17.88614000326461,10.641002857377948,49.66295090390225,49.0,176.0162162162162,238.0
126,14.0,4.222008245644752,-70.95898418392763,5.292715646655569,3.527756971067117,14.156854249492381,113.0,130.80357142857142,146.0
127,114.5,12.074184356393443,51.79505106130185,15.67231995531196,10.051892402763157,44.627416997969526,83.0,180.9126637554585,251.0
128,190.25,15.563862739881277,20.041964276388626,18.798993642864954,13.480243254459017,56.95584412271571,44.0,161.22076215505913,233.0
129,10.0,3.5682482323055424,-59.34155582271992,6.07018995679218,2.889687507060125,14.9675144212722,95.0,114.15,138.0
130,182.75,15.254000354017007,84.66539261856667,15.87871715539486,15.07376992434204,58.19848480983499,93.0,166.04787961696306,240.0
131,198.0,15.877702285203682,30.303813637637287,18.74064333850486,13.78411515186394,55.64823227814084,84.0,156.16666666666666,231.0
132,154.0,14.002817212590296,24.732979771718522,16.110766612120457,12.51030004294012,50.87005768508881,49.0,160.96915584415584,217.0
134,22.75,5.382025607773058,89.98643080494242,5.977941214287776,5.253252955124833,20.020815280171306,81.0,133.15384615384616,172.0
135,49.5,7.938851142601841,60.68101895377757,11.491880502516013,5.970948144690507,33.19543648263006,95.0,158.91919191919192,214.0
136,136.0,13.159049284959082,15.715874302733665,13.630779774362118,12.922220477962597,46.04163056034262,74.0,159.46875,236.0
137,241.25,17.52623862006215,83.36349231904335,18.75592000977648,16.65007260424254,63.14823227814083,51.0,162.79378238341968,228.0
138,142.25,13.458020851469092,6.070858922960932,14.911705380119585,12.31387874604825,46.62741699796952,84.0,155.99121265377855,214.0
139,143.25,13.505242122350568,40.61658484276751,19.703679216263406,12.812307338057623,63.890872965260115,84.0,168.26876090750437,233.0
140,21.0,5.170882945826411,-88.89201307430008,5.882995306809941,4.678047711640809,17.98528137423857,85.0,139.23809523809524,182.0
141,7.0,2.985410660720923,8.817765507718084,3.5592491902463967,3.033000517722652,9.553300858899105,113.0,133.57142857142858,145.0
142,268.0,18.47236308621676,62.580663561297385,21.372842508275184,16.251710798199163,63.85533905932738,69.0,167.7117537313433,229.0
143,264.25,18.34267018992237,41.48473553352094,21.283166705107423,16.254232868257464,69.08021279348029,75.0,164.97918637653737,237.0
144,143.0,13.493452297211721,-23.052178457772843,14.557416819782603,12.78915057931304,47.33452377915607,60.0,151.27797202797203,221.0
145,188.25,15.48183917680307,24.717035522114692,17.069169935564705,14.391216641335573,59.31980515339464,34.0,158.4953519256308,220.0
146,112.25,11.954962939989485,54.828140882252,14.362600295186496,10.224203134320778,41.21320343559643,67.0,166.33407572383072,239.0
147,85.25,10.418429401242426,38.82158598591389,10.829394419346036,10.50302768379805,38.38477631085024,85.0,171.57478005865102,255.0
148,176.25,14.980269348699055,86.87834095897173,17.251203929467156,13.341152490898443,52.748737341529164,91.0,171.07801418439718,235.0
149,159.5,14.250673927406327,-78.28879637263371,15.543120711264475,13.238079098702357,49.66295090390226,70.0,154.53918495297805,223.0
150,203.25,16.086824965400158,-27.143858364967766,17.6449383708397,14.74566564745386,54.2842712474619,85.0,164.8929889298893,229.0
151,209.5,16.332289631953525,77.55593207165866,18.48367156785909,14.838692026597071,57.90559159102155,90.0,160.38663484486872,211.0
152,148.0,13.727325035155395,11.596352378891103,17.848108085651774,11.536239342536938,51.1126983722081,78.0,165.7466216216216,244.0
153,132.75,13.000867261978827,45.060147778676175,13.683508529376184,12.69448597934336,45.21320343559643,71.0,144.92090395480227,189.0
154,77.5,9.933582672781009,-7.769357668404708,11.631666765880688,9.093851020027643,35.31370849898476,80.0,166.8258064516129,220.0
155,111.75,11.92830747106036,-27.133330175665222,12.64210681036691,11.589857912032583,42.577164466275356,68.0,153.1118568232662,216.0
156,89.25,10.660048281673648,4.512271630207312,12.641343077636614,9.449602455702788,37.50609665440988,18.0,158.46218487394958,219.0
157,200.75,15.987583888930306,-69.08906597401003,17.804773654969566,15.18339984219011,62.526911934581186,53.0,163.7434620174346,231.0
158,261.25,18.238251864201825,73.22108694468824,19.80797723778933,16.894030447370294,61.90559159102154,70.0,164.38851674641148,227.0
159,225.5,16.94448338952177,89.30026551565302,18.9405166737532,15.276148132307991,56.21320343559642,59.0,161.41241685144124,223.0
160,175.5,14.948362455500638,24.610676139078958,17.49007013477111,13.202338078420942,54.61269837220809,87.0,173.76780626780626,248.0
161,222.75,16.840846433293,29.63280444563199,20.46563775371319,14.957429790566671,64.00914498161482,82.0,164.55667789001123,231.0
162,261.0,18.229523339239496,-59.4841192157993,19.056978143644674,17.782123959212974,63.81980515339464,70.0,156.23563218390805,230.0
163,201.0,15.99753570059363,16.238212633565055,16.628258602916862,15.54870842300688,53.577164466275356,77.0,170.76616915422886,229.0
164,178.75,15.086138293858053,-69.84812375861625,17.460360675812755,13.564132307680868,55.62741699796952,24.0,158.72167832167833,232.0
165,126.75,12.70366530947592,13.121542638014313,17.034924939276113,10.90584985980172,51.40254326381661,85.0,167.21499013806707,236.0
166,165.0,14.494292838262302,61.558021354941175,18.29419292438501,11.739428286906328,50.92031021678298,87.0,179.9257575757576,231.0
167,193.0,15.67594437773643,73.58596869823523,18.4501193144527,14.30350721621716,58.40559159102155,81.0,169.49222797927462,238.0
168,131.25,12.927207364566026,38.32851018392867,14.322424749162929,11.731773188185674,44.87005768508881,81.0,158.64190476190475,235.0
169,165.75,14.527197064122632,32.56633977095561,15.933714621041375,13.987236927114068,53.21320343559642,31.0,153.47058823529412,228.0
170,6.75,2.9316150714175193,58.98113719172083,4.213614730923009,2.585422281822283,8.34619407771256,94.0,122.22222222222223,137.0
171,246.25,17.706926268865352,53.47497808948055,18.242613806593422,17.40137132008408,62.077164466275356,23.0,167.6467005076142,232.0
172,165.75,14.527197064122632,51.52004029705578,17.190704679750418,12.914734349296765,56.11269837220809,90.0,151.79336349924586,222.0
173,33.75,6.555290583552474,1.213620699729616,12.345468917367837,3.614668820350226,26.656854249492376,91.0,146.22962962962964,203.0
174,172.75,14.830783234644061,7.093206066164911,15.987198229874773,14.584802434083105,54.612698372208094,94.0,172.9956584659913,237.0
175,24.5,5.585191925620057,56.58594633666793,8.26674794963614,4.152736229954781,22.29594154601839,80.0,154.3469387755102,193.0
176,162.0,14.361922094451577,43.216492067568296,15.331311227346365,13.935232443137378,54.66295090390226,34.0,158.41512345679013,221.0
177,114.0,12.047792665040703,42.84959900131021,13.965547248417318,10.677601687752754,41.798989873223334,118.0,179.859649122807,231.0
178,146.0,13.63425735166143,13.153612492903742,15.49121163778769,12.686052825983682,49.16295090390225,36.0,169.03253424657535,228.0
179,159.75,14.261837794318172,73.56540961122987,17.70673038392185,11.68404693258464,50.334523779156065,81.0,176.36463223787166,231.0
180,113.25,12.008096370418468,72.10102611612595,13.800404501918923,10.598762294270804,41.57411613907041,96.0,168.65121412803532,238.0
181,174.5,14.905713688256792,7.167373902504324,18.485603499705295,12.695702867928597,55.577164466275356,91.0,171.22349570200572,234.0
182,171.0,14.755472278097805,55.44399883334152,16.318036788320633,13.469320712121169,52.47361107568208,10.0,158.07309941520467,225.0
183,178.25,15.065024024177417,57.13070052313714,17.18348566283574,13.375047152838789,53.198484809835,47.0,176.7615708274895,227.0
184,73.0,9.640875829802336,6.474024488002761,14.749286165005326,6.822831038227989,37.31370849898476,84.0,155.9794520547945,199.0
185,169.25,14.679774962390475,37.32004933624111,16.377517525260107,13.348206982654377,51.37005768508881,87.0,163.51994091580502,228.0
186,232.25,17.19621714984844,37.65011502753848,19.52128216195284,15.880076130178262,62.31980515339464,90.0,175.70182992465016,235.0
187,245.75,17.688940559532284,-32.94958986046396,18.826524660762246,17.015002549935474,64.44112549695429,24.0,161.4262461851475,229.0
188,194.5,15.736743355948496,32.42953761647942,17.778544776462855,14.140714428548632,54.180717856868625,51.0,160.08740359897172,223.0
189,202.5,16.05711704537494,-69.17844954928813,16.54893475882426,15.64786284358897,53.33452377915607,77.0,162.1888888888889,226.0
190,88.5,10.61516366850092,7.92347710102475,11.706901812421759,9.958855938313178,37.384776310850235,74.0,163.9406779661017,235.0
191,24.0,5.527906391541368,3.4686338145113673,6.257744991589813,5.177358143151277,20.106601717798213,93.0,117.58333333333333,134.0
192,218.0,16.66031874701878,27.23299807864719,19.033403321943034,15.100820074794152,60.94112549695428,63.0,157.24426605504587,205.0
193,172.75,14.830783234644061,57.19065671257678,16.15122143846784,13.773859605694357,51.05939751330898,17.0,168.45730824891461,233.0
194,196.25,15.807379942744328,67.35772664682298,18.220848304779437,14.191714206812721,58.077164466275356,87.0,160.8140127388535,234.0
195,8.75,3.3377905890622728,-3.6340268817322268,4.290350984421929,3.0531734346916033,11.949747468305832,106.0,141.54285714285714,172.0
196,159.5,14.250673927406327,50.411618706851165,17.754810495877052,11.790156851558956,49.698484809834994,74.0,172.61442006269593,232.0
197,218.5,16.679413674486074,43.39639956081681,18.010178703707016,15.672770684124545,57.577164466275356,69.0,159.12242562929063,237.0
198,118.5,12.283276682185287,35.90576933194568,13.765551289776493,11.29998029220711,42.020815280171306,90.0,151.13080168776372,246.0
199,172.5,14.820047957642227,35.15156514386568,18.80006249753359,12.23335395448115,53.698484809834994,83.0,166.30289855072465,233.0
