,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,139.25,13.315352289908494,-3.019807979158073,19.302000530332847,9.532978857915742,48.71015510839148,4.0,153.10233393177737,221.0
2,61.75,8.866935315394846,-87.96854099528981,13.657704840196534,5.94188309624549,33.36396103067892,47.0,129.21052631578948,195.0
3,25.0,5.641895835477563,88.10742699145473,9.427993602537446,3.619355830878336,21.65685424949238,88.0,115.59,149.0
4,159.25,14.239501307948768,72.22317507407018,16.381901005415102,12.741849161272798,48.384776310850235,35.0,134.20251177394036,221.0
5,372.0,21.76338922689847,46.4269860996532,35.71548945346825,15.182451111604744,106.06244584051393,24.0,141.90860215053763,224.0
6,280.5,18.898245746582223,47.66181247882487,30.283786795508444,14.00194434430259,91.94112549695427,8.0,134.90552584670232,223.0
7,2803.75,59.748183014642485,5.791939973560489,120.09146577997085,68.14374626792764,737.7691193458119,0.0,143.9594293357111,253.0
8,63.5,8.991702346646203,89.50601936933296,12.837983868353877,6.607907320205356,32.36396103067893,47.0,123.53149606299213,170.0
9,23.25,5.440847306724618,85.04616091907258,8.018682985534177,3.918990569119313,19.071067811865476,64.0,108.35483870967742,124.0
10,181.25,15.191269449366246,63.32959769497298,22.19840341258363,11.88880726779872,74.04163056034261,24.0,126.71724137931035,181.0
11,123.0,12.514330345744634,-86.33424958358093,14.792657719823676,11.02561338326626,44.142135623730944,33.0,129.3048780487805,175.0
12,441.0,23.695962509005764,39.53197999121128,38.708762646518196,16.755029547326572,133.11879502661796,10.0,133.41156462585033,230.0
13,384.5,22.12601647271081,88.29701378711741,38.995341792727814,14.489892439682656,116.76955262170047,18.0,142.89076723016905,224.0
14,26.5,5.808687281605183,34.937319536681336,6.850557601833673,5.223425282964648,19.242640687119284,87.0,126.33962264150944,176.0
15,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,86.0,97.11111111111111,106.0
16,91.25,10.778826859036359,-4.223309938695089,15.61448925699035,7.836971669151868,42.26345596729059,47.0,114.6109589041096,171.0
17,149.5,13.796713809378915,50.95449780974384,15.203546797996399,12.595494620505495,46.50609665440987,28.0,139.28929765886286,210.0
18,844.25,32.78616302104687,61.88685099134294,73.26364043504346,25.178442827927352,245.3264248180678,4.0,143.6790050340539,239.0
19,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,76.0,95.44444444444444,107.0
20,181.25,15.191269449366246,42.65400626116802,17.08972331623042,14.136652037004945,60.162950903902264,2.0,135.68275862068967,188.0
21,33.5,6.530966601401967,6.141613990597518,9.866382093961297,4.590639845496861,23.65685424949238,79.0,118.33582089552239,148.0
22,262.0,18.26441241104166,41.96499651114614,20.1523130628553,17.146541259448057,68.62741699796952,31.0,131.69942748091603,186.0
23,128.75,12.80349918517013,-79.12124445295733,13.909755572812037,11.888691386015378,42.435028842544405,25.0,130.45825242718448,198.0
24,398.5,22.525229379008827,57.46714660205359,35.89802636158939,16.521630747023007,114.2193000900063,8.0,141.36449184441656,223.0
25,206.75,16.224742705941285,64.27586837663584,17.905092501253566,14.881802511201712,59.698484809834994,11.0,141.34340991535672,225.0
26,201.25,16.00748132524138,29.90498681578682,16.89460816411859,15.249622431998118,53.577164466275356,27.0,128.0310559006211,180.0
27,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,90.0,98.11111111111111,106.0
28,372.0,21.76338922689847,70.20019661530702,37.464706763782004,15.309415223861073,119.03300858899104,22.0,139.70698924731184,236.0
29,1087.75,37.21513556049035,35.5336882839842,78.30832450675933,35.25675161586147,298.31780284671623,0.0,144.74718455527466,239.0
30,203.0,16.07692842495848,57.40904653678488,17.89096136577048,14.589249403225352,54.334523779156065,8.0,138.54310344827587,219.0
31,774.5,31.402611792610237,-58.17185060741034,54.75079469653262,23.232072219567996,182.7462120245875,0.0,146.64622336991607,242.0
32,417.0,23.04215463350949,58.08157077901235,39.888974578531766,21.117570875281764,141.86143571373725,3.0,141.2667865707434,249.0
33,797.75,31.870469824156594,68.50176263095156,60.78021928477983,21.57680264765919,192.81727983645297,0.0,146.0184895017236,234.0
34,168.5,14.647213499088313,25.17868359291106,15.93073581870914,13.792041178074177,51.62741699796952,43.0,138.19287833827894,210.0
35,2278.75,53.86459516756115,87.04272989659782,74.70578995185782,58.676228183025714,581.8335674930041,0.0,145.05024684585848,236.0
36,764.0,31.18902069924069,74.24269733389069,47.35992159302495,27.210248148617936,206.64570696119915,0.0,144.1806282722513,238.0
37,189.25,15.522905135351744,46.00015528010168,17.90460136621771,13.715163698883108,54.92031021678298,31.0,137.34742404227214,227.0
38,132.25,12.976360421598395,35.79930894716777,14.40827664527684,11.88968506673813,43.020815280171306,14.0,152.66729678638941,207.0
